tunggiya i niyalma ,	nn cm nv mark
jirgalang_age ,	nn mark
han hendu me ,	nv verb e mark
han i dolo ,	nv cm nv mark
yoo_jeo de gaji fi tebu ∅ ,	nn cm verb e verb e mark
te tesu gūsin jakūn haha be gemu wa ha ,	nv nv nv nv nv cm nv verb e mark
kiyangkiyan ,	nv mark
bi bisi re ,	pn verb e mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
hūlha holo be nakabu me ,	nv nv cm verb e mark
juwan emu yan i weile waliya mbi ,	nv nv nv cm nv verb e mark
ingtori emu fan ,	nv nv nv mark
sure_kundulen_han hendu me ,	nn verb e mark
ajige weihu de te he juwe niyalma be jafa fi ,	nv nv cm verb e nv nv cm verb e mark
ere juwan juwe niyalma de ,	nv nv nv nv cm mark
tuba de uthai waji ∅ ,	nv cm nv verb e mark
amba_beile ,	nn mark
duin tanggū ninju niyalma ,	nv nv nv nv mark
dain de buce he gung seme beiguwan obu ha .	nv cm verb e nv comp nv verb e mark
ere uyun niyalma de guise horho jakūta ,	nv nv nv cm nv nv nv mark
lii_diyan_kui be sin i jaka de gaji fi dacila me fonji ∅ ,	nn cm pn cm nv cm verb e verb e verb e mark
usiha tuhe re de ,	nv verb e cm mark
tere inenggi ,	nv nv mark
te muse i emu gurun i han de daha ∅ se ci ,	nv nv cm nv nv cm nv cm verb e verb e mark
siyoo_he_šan ,	nn mark
han i hecen de te mbi ,	nv cm nv cm verb e mark
○ orin sunja de ,	mark nv nv cm mark
saikan kimci me bai me wa fi ,	nv verb e verb e verb e mark
fung_ji_pu de cimari buda budala ra de ,	nn cm nv nv verb e cm mark
weihu de ili fi ,	nv cm verb e mark
han ,	nv mark
ice uyun de gung faita ha .	nv nv cm nv verb e mark
hoton ara ra agūra ,	nv verb e nv mark
○ ice ilan de ,	mark nv nv cm mark
hūng_tsoo gašan de te he ušan beiguwan i kadala ra giya_xan_ho_gašan i orin boo i niyalma uka me gene re be ,	nn nv cm verb e nn nv cm verb e nn cm nv nv cm nv verb e verb e cm mark
boigon be gercile he niyalma de bu mbi .	nv cm verb e nv cm verb e mark
gūwa ume dosi re ,	nv nv verb e mark
fu_jeo de te he monggo be ,	nn cm verb e nv cm mark
tanika ,	nn mark
juleri ula_bira i muke de morin i tulu deri olo me ili fi jilida me hendu me ,	nv nn cm nv cm nv cm nv nv verb e verb e verb e verb e mark
emu niyalma be tuwakiyabu ∅ ,	nv nv cm verb e mark
gemu kadala ra ejen i boo de bargiya me gai fi asara ∅ ,	nv verb e nv cm nv cm verb e verb e verb e mark
moohai ,	nn mark
hanciki hiyasa ,	nv nv mark
jai ninggun niyalma baha fi wa ha ,	nv nv nv verb e verb e mark
bulanju umai baha fi sa hakūbi ,	nn nv verb e verb e mark
juwe gecuheri be dabu me juwan suje ,	nv nv cm verb e nv nv mark
min i kadala ra emu niru i cooha be iogi tsanjiyang ci fakca rakū ,	pn cm verb e nv nv cm nv cm nv nv cm verb e mark
emu ciyandzung de duin niyalma ,	nv nv cm nv nv mark
teisule he ba be jergi de yabu re niyalma ,	verb e nv cm nv cm verb e nv mark
aisin menggun ,	nv nv mark
serebu he manggi ,	verb e nv mark
ilan jergi niyakūra ha ,	nv nv verb e mark
nikan i šanaha ci emu medege gaija ra nikan ji fi ,	nv cm nn cm nv nv verb e nv verb e mark
genggiyen_han de nike fi daha ki seme ji he ,	nn cm verb e verb e comp verb e mark
gūwa isi rakū niyalma de bu mbi kai .	nv verb e nv cm verb e ptcl mark
hūwaliyan_i_tungse be gai fi ,	nn cm verb e mark
emu hule be liyoodung ni ici niyalma ,	nv nv cm nn cm nv nv mark
juwe amba cooha aca fi afa ra de ,	nv nv nv verb e verb e cm mark
mao_wen_lung de unggi he bithe i gisun ,	nn cm verb e nv cm nv mark
erin fon de acabu me ,	nv nv cm verb e mark
sain ai de yende mbi ,	nv nv cm verb e mark
hejiri ,	nn mark
haise ,	nn mark
emu aniya ara me tuwa ha ,	nv nv verb e verb e mark
jušen i ji he cooha be bošo me jase tucibu he seme ,	nv cm verb e nv cm verb e nv verb e comp mark
te ala ki seme han de ala me ,	nv verb e comp nv cm verb e mark
gūsin moo ura tū fi sinda habi ,	nv nv nv verb e verb e mark
nikan cooha be tuwa ci ,	nv nv cm verb e mark
tere baha ha niyalma ulha de ai ulebu mbi ,	nv verb e nv nv cm nv verb e mark
beye i ehe de wasi kini .	nv cm nv cm verb e mark
ice uyun de tiyei_ling ni ba be cooha dosi fi ,	nv nv cm nn cm nv cm nv verb e mark
wesibu fi beiguwan obu ha ,	verb e nv verb e mark
afabu ha weile be tondo i kice me akūmbu rakū ,	verb e nv cm nv cm verb e verb e mark
tere i sira me dain de baha ha monggo i fujisa hengkile me aca ha ,	nv cm verb e nv cm verb e nv cm nv verb e verb e mark
moo unu me juwe fi xi_san_šan i alin i dele wesimbu fi sinda ∅ ,	nv verb e verb e nn cm nv cm nv verb e verb e mark
han de waka sabu fi weile baha fi boo yada kini ,	nv cm nv verb e nv verb e nv verb e mark
emu minggan haha funce me wa ha ,	nv nv nv verb e verb e mark
○ ice ilan de ,	mark nv nv cm mark
suwe ume olho ro ,	pn nv verb e mark
sarin sarila ra ,	nv verb e mark
○ du_tang ni bithe ,	mark nv cm nv mark
iogi i hergen nakabu ha ,	nv cm nv verb e mark
ilan hehe de ,	nv nv cm mark
jai šun tuhe re baru tuwa ci ,	nv nv verb e nv verb e mark
anji ha gese sain wehe be sinda fi ,	verb e nv nv nv cm verb e mark
fu_jeo i boigon niyalma be ,	nn cm nv nv cm mark
beye suila me dailandu ha gojime ,	nv verb e verb e nv mark
ši_lii_tun i lin_jeng_gu ,	nn cm nn mark
han de waka sabu fi weile baha fi boo yada kini ,	nv cm nv verb e nv verb e nv verb e mark
hai_si hali_wei i dudu ciyanši erkis i jui guyeng_baduli ,	nn nn cm nv nv nn cm nv nn mark
han ,	nv mark
guwangning ci juwe monggo uka me ji he .	nn cm nv nv verb e verb e mark
gurun i haha tolo ho ,	nv cm nv verb e mark
○ warka_ecike ,	mark nn mark
tere siren onco boso i defe i gese ,	nv nv nv nv cm nv cm nv mark
suwe hoton be bekile me dasa fi ,	pn nv cm verb e verb e mark
hūrha_golo i bojiri gebungge niyalma be takūra me hendu ci ,	nn cm nn nv nv cm verb e verb e mark
hecen ci tuci ci ,	nv cm verb e mark
han de sunja ninggun jergi niyakūra fi hendu me ,	nv cm nv nv nv verb e verb e mark
asibu ,	nn mark
tuttu min be gasabu ha be gūni rakū ,	nv pn cm verb e cm verb e mark
unggadai ,	nn mark
suwen be jobobu rakū .	pn cm verb e mark
genggiyen_han ,	nn mark
hoton de dosinji ci ,	nv cm verb e mark
tu_ho_wei i du_jy_hūi_tungjy alušan i omolo ubadai ,	nn cm nv nn cm nv nn mark
ice ji he boigon anggala haha tolo me gene he .	nv verb e nv nv nv verb e verb e mark
( cen i beye se re ngge ,	mark pn cm nv verb e nmlz mark
dobi_ecike i tulkun ,	nn cm nn mark
ninggun biya i juwan juwe de amba_beile de wasimbu ha ,	nv nv cm nv nv cm nn cm verb e mark
wan_lii i gūsin nadaci aniya omšon biya i orin sunja de narin baha ha ,	nn cm nv nv nv nv nv cm nv nv cm nn verb e mark
juhe jafa ra onggolo ,	nv verb e nv mark
hecen be saci me efule re de ,	nv cm verb e verb e cm mark
dodo_age i sadun ,	nn cm nv mark
usin i jeku be saikan weile me tomso me gai ∅ ,	nv cm nv cm nv verb e verb e verb e mark
juhe hūwaja me guwengke jilgan be ,	nv verb e nv nv cm mark
sain gisun i duwali kai seme hendu he ,	nv nv cm nv ptcl comp verb e mark
inggūldai ka ha šancin be muse i cooha ka fi tuwakiya ∅ ,	nn verb e nv cm nv cm nv verb e verb e mark
ujungga amban sa i boigon bargiya ha uthai bi kini ,	nv nv nv cm nv verb e nv verb e mark
fuca i julergi bigan de poo miyoocan be jergi jergi dasa fi ,	nn cm nv nv cm nv nv cm nv nv verb e mark
te he ba ci uthai hengkile ∅ ,	verb e nv cm nv verb e mark
abutu iogi be efule he ,	nn nv cm verb e mark
jui hiyoošun akū o ci ,	nv nv nv verb e mark
jaila me lin_pan se re ba de gene hebi ,	verb e nn verb e nv cm verb e mark
ere niyalma be gemu ginjeo i hoton de weri he .	nv nv cm nv nn cm nv cm verb e mark
wa ra niyalma be afabu fi wa ra ,	verb e nv cm verb e verb e mark
seire de yali sinda ha manggi ,	nv cm nv verb e nv mark
jaotai ,	nn mark
han ,	nv mark
wang_du_tang juse hehesi be ,	nn nv nv cm mark
jai geli folo ho enggemu hadala ,	nv nv verb e nv nv mark
adahai iogi ,	nn nv mark
duici_beile hendu me ,	nn verb e mark
juwan de eje he bu mbi .	nv cm verb e verb e mark
guwangning de ice sunja de takūra me ,	nn cm nv nv cm verb e mark
jeku be inu je ci isi mbi ,	nv cm nv verb e verb e mark
šajila fi nikan i umai be neci rakū yabu ha ,	verb e nv cm nv cm verb e verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
○ niyang_niyang_gung ni ba i dogon de ,	mark nn cm nv cm nv cm mark
hergen kemuni bi kini ,	nv nv verb e mark
yaya dain de ,	nv nv cm mark
jai yehe ci burula me gene he niyalma ,	nv nv cm verb e verb e nv mark
muse i gurun i han i sira me banji re beile se amban sa ,	nv cm nv cm nv cm verb e verb e nv nv nv nv mark
usin akū sula ba be bai me morin ulebu me gama fi ,	nv nv nv nv cm verb e nv verb e verb e mark
han i afabu ha jurgan be ,	nv cm verb e nv cm mark
dzung_bing_guwan ci fusihūn ,	nv cm nv mark
tenteke gioha ra ,	nv verb e mark
niru i beiguwan i hergen bu fi ,	nv cm nv cm nv verb e mark
ba ba ,	nv nv mark
beri sirdan ,	nv nv mark
○ sunja biya i juwan nadan de cooha jura ka ,	mark nv nv cm nv nv cm nv verb e mark
bak ,	nn mark
ilan gida ,	nv nv mark
suwen i ehe niyalma de dere bani mbi o ,	pn cm nv nv cm nv verb e ptcl mark
liyoodung ni ulan de ili fi afa ra de ,	nn cm nv cm verb e verb e cm mark
nimacan iogi juwe tanggū cooha be ligiya de gai fi te mbi ,	nn nv nv nv nv cm nn cm verb e verb e mark
muse cooha gene ki seme mitandu me mara me gisure ci ,	pn nv verb e comp verb e verb e verb e mark
uji ci ,	verb e mark
emu ba ci boljo me gisure fi fakca ha cooha ,	nv nv cm verb e verb e verb e nv mark
nikan gurun ,	nv nv mark
han i beye de gisure he sargan jui be monggo de bu re be donji fi ,	nv cm nv cm verb e nv nv cm nv cm verb e cm verb e mark
○ gulu lamun i gūsa i bargiya ra ba ,	mark nv nv cm nv cm verb e nv mark
golo be bargiya hakū seme ,	nv cm verb e comp mark
boo i aika jaka be ,	nv cm nv nv cm mark
dule ke aniya jorgon biya de emu tanggū yan menggun bu fi ,	verb e nv nv nv cm nv nv nv nv verb e mark
morin akū seme gašan de ume bisi re ,	nv nv comp nv cm nv verb e mark
ai ai jaka be ambula baha ha kai ,	nv nv nv cm nv verb e ptcl mark
ehe be ehe seme han de ala mbi ,	nv cm nv comp nv cm verb e mark
baha fi baha hakū seme šang gai fi ,	verb e verb e comp nv verb e mark
○ jakūn biya i ice inenggi ,	mark nv nv cm nv nv mark
dain i amala ili ci ,	nv cm nv verb e mark
suwan i ulai niru ,	nv cm nn nv mark
tung_iogi de alana habi kai ,	nn cm verb e ptcl mark
ulha gaji me hūda ji he ,	nv verb e nv verb e mark
wa ha niyalma i fejile gidabu fi feye akū niyalma inu ambula buce he ,	verb e nv cm nv verb e nv nv nv nv nv verb e mark
niyaman hūncihin seme harša rakū ,	nv nv comp verb e mark
fakca rakū ci ,	verb e e mark
šun i juwe dalba ci fulgiyan niowanggiyan siren goci ka ,	nv cm nv nv cm nv nv nv verb e mark
cooha i ejen ho_dzung_bing_guwan ,	nv cm nv nn mark
han i afabu ha jurgan be ,	nv cm verb e nv cm mark
ice jakūn de ,	nv nv cm mark
baban ,	nn mark
○ taifin banji re de ,	mark nv verb e cm mark
hūwang dan ,	nv nv mark
ciyandzung ,	nv mark
uji he han ama be waliya fi amasi monggo i ba de gene ci ,	verb e nv nv cm verb e nv nv cm nv cm verb e mark
ice ji he niyalma de boo tucibu fi bu re ,	nv verb e nv cm nv verb e verb e mark
juse ,	nv mark
gumbu_taiji de unggi he bithe i gisun ,	nn cm verb e nv cm nv mark
giranggi be nikan de bu ki ,	nv cm nv cm verb e mark
fejergi niyalma i waka be sa ha de ,	nv nv cm nv cm verb e cm mark
emu jaka be bahana rakū ,	nv nv cm verb e mark
niru i duin ciyandzung ni dele jai emu ciyandzung o fi gai ∅ .	nv cm nv nv cm nv nv nv nv verb e verb e mark
min i gisun be jurce me ,	pn cm nv cm verb e mark
nikan i cooha ilan jurgan i jide re toron be sabu fi ,	nv cm nv nv nv cm verb e nv cm verb e mark
tere i gisun ,	nv cm nv mark
emu jui uba de bisi re ama be tuwa me bi kini ,	nv nv nv cm verb e nv cm verb e verb e mark
○ ilaci mukūn i juwan juwe ci tatan ,	mark nv nv cm nv verb e nv mark
jeng_giyang ,	nn mark
gūlha ,	nv mark
mujan janggin ,	nv nv mark
bira i julergi de sunja ba i dube de ,	nv cm nv cm nv nv cm nv cm mark
jai deote be etu re jete re ai banji re doro de ,	nv nv cm verb e verb e nv verb e nv cm mark
han de waka sabu fi weile baha fi boo yada kini ,	nv cm nv verb e nv verb e nv verb e mark
suwen i mujilen be dasa fi doro i jalin de gūni me banji me o ho de ,	pn cm nv cm verb e nv cm nv cm verb e verb e verb e cm mark
udu sin ,	nv nv mark
sarhū ,	nv mark
honin aniya juwe biya de ,	nv nv nv nv cm mark
lo_šen_sy gebungge nikan de ,	nn nv nv cm mark
jai aniyadari jobo ho doro bi o ,	nv nv verb e nv verb ptcl mark
uhereme dehi niyalma yafahan uka me ji he .	nv nv nv nv verb e verb e mark
geren beile se be gai fi ,	nv nv nv cm verb e mark
fujisa be gaji re amban sa ,	nv cm verb e nv nv mark
guwangning de bisi re jakūn gūsa i uksin bu re amban sa ,	nn cm verb e nv nv cm nv verb e nv nv mark
duka_ala de dedu he .	nn cm verb e mark
ginggule me onggo rakū gūni me ,	verb e verb e verb e mark
amba_beile de juwe jergi bene he buda be ali me gai fi je ke mujangga ,	nn cm nv nv verb e nv cm verb e verb e verb e nv mark
nitangga ,	nn mark
mocin juwan ,	nv nv mark
birai_dergi gurun be gemu dahabu fi ,	nn nv cm nv verb e mark
we we be gelebu mbi ,	nv nv cm verb e mark
tuttu in i beye be eden ara me efule he niyalma be uji he seme ai baita seme gintaisi_beile be futa i tata me wa ha ,	nv pn cm nv cm nv verb e verb e nv cm verb e comp nv nv comp nn cm nv cm verb e verb e mark
tofohon yan i eje he gung be faita ha .	nv nv cm verb e nv cm verb e mark
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb e nv cm verb e comp nv verb e mark
šun tuhe re ergi dere de afa ra duin gūsa i cooha i niyalma ,	nv verb e nv nv cm verb e nv nv cm nv cm nv mark
○ ice duin de ,	mark nv nv cm mark
handai ,	nn mark
tere ci meihe erin de hecen de dosi ka .	nv cm nv nv cm nv cm verb e mark
○ tere inenggi ,	mark nv nv mark
yoo_jeo ,	nn mark
encu gisun i mujakū nikan gurun de emu hebe o fi ,	nv nv cm nv nv nv cm nv nv verb e mark
ula de juwe feye sacibu ha ,	nv cm nv nv verb e mark
tere gese geren cooha be geli we tuwa ha ,	nv nv nv nv cm nv nv verb e mark
liyoodung ni šang be gemu gai fi ,	nn cm nv cm nv verb e mark
jori ha jurgan be jurce rakū seme ,	verb e nv cm verb e comp mark
amin_beile bu he bithe ,	nn verb e nv mark
muse i hecen ci casi ,	nv cm nv cm nv mark
mafa i eifu de hangsi waliya me ,	nv cm nv cm nv verb e mark
juwe juru galaktun ,	nv nv nv mark
abka i enduri jailabu me dali me tuttu oihori da mbihe dere ,	nv cm nv verb e verb e nv nv verb e ptcl mark
gūsin i inenggi wasimbu ha ,	nv cm nv verb e mark
suwe ainu boo i niyalma be bošo fi uce yaksi fi gisure mbi ,	pn nv nv cm nv cm verb e nv verb e verb e mark
uluri_meifen ci molokji i baru uluri ere emu ubu .	nn cm nn cm nv nv nv nv nv mark
gasha i dethe ,	nv cm nv mark
jortai sartabu mbi dere ,	nv verb e ptcl mark
morin hūdun niyalma hūdun doro i ,	nv nv nv nv nv cm mark
tere weile be gemu waliya ha ,	nv nv cm nv verb e mark
○ solho i ergi de lenggeri fujiyang ,	mark nv cm nv cm nv nv mark
weile ara mbi ,	nv verb e mark
duite kiru bu he .	nv nv verb e mark
beile se i gai ha ngge ai koro se mbi ,	nv nv cm verb e nmlz nv nv verb e mark
gemu teisu teisu neigen dende me gai mbihe kai ,	nv nv nv nv verb e verb e ptcl mark
hehesi be takūra me hūntahan jafa ha ,	nv cm verb e nv verb e mark
ojo rakū o fi ,	verb e verb e mark
minggan_beile i jui angkūn_taiji isina fi ,	nn cm nv nn verb e mark
abala ha seme ala cina ,	verb e comp verb e mark
beging ni hecen i bira de juwe jergi senggi eye he ,	nv cm nv cm nv cm nv nv nv verb e mark
han i beye ,	nv cm nv mark
jang_dzy_jing gebungge niyalma be ,	nn nv nv cm mark
tere ninggun koro ,	nv nv nv mark
○ da_mao_pu i wang_lai_bin beiguwan ,	mark nn cm nn nv mark
ihan be gemu bedere me bu he ,	nv cm nv verb e verb e mark
wangšan_ecike ,	nn mark
tuci fi gene he bujantai be min de gaji ∅ seme ilan jergi niyalma takūra ci ,	verb e verb e nn cm pn cm verb e comp nv nv nv verb e mark
bi uba ci gisun hendu fi unggi re ,	pn nv cm nv verb e verb e mark
ere girin_hada de bi kai ,	nv nn cm verb ptcl mark
nikan gurun efuje me waji ha kai ,	nv nv verb e verb e ptcl mark
sargan jui de ūmci bu hekū kiyangdula ha ,	nv nv cm nv verb e verb e mark
juwan juwe ci jergi ,	nv verb e nv mark
gūwalca_ecike ,	nn mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
ilan inenggi i dolo ,	nv nv cm nv mark
bi amasi bedere fi gūsin ba i dube de ili fi ,	pn nv verb e nv nv cm nv cm verb e mark
salu i ilaci jergi iogi be beiguwan obu ha ,	nv cm nv nv nv cm nv verb e mark
hoton be ,	nv cm mark
hecen ara me waji ha manggi ,	nv verb e verb e nv mark
fonji mbi seme gana fi serebu he janggin daise de weile ara fi ,	verb e comp verb e verb e nv nv cm nv verb e mark
beiguwan i bodo me ,	nv cm verb e mark
naja i baru hendu me ,	nn cm nv verb e mark
weile ara fi yalu ha morin gai fi jafa ha niyalma de bu mbihe ,	nv verb e verb e nv verb e verb e nv cm verb e mark
balan ,	nn mark
ere gisun be ,	nv nv cm mark
cirku .	nv mark
ilata huncu gama me ,	nv nv verb e mark
han hendu me ,	nv verb e mark
uju fusi mbihe de ,	nv verb e cm mark
bak ,	nn mark
sin i hendu re mujangga kai ,	pn cm verb e nv ptcl mark
han i bithe wasinda ra be donji kini ,	nv cm nv verb e cm verb e mark
○ juwan jakūn de ,	mark nv nv cm mark
juwe jušen benji me jide re de ,	nv nv verb e verb e cm mark
tere i jakūn boo de emu ubu ,	nv cm nv nv cm nv nv mark
tongki fuka sinda ha hergen i dangse .	nv nv verb e nv cm nv mark
darja_age beiguwan i hergen be wesibu fi iogi i hergen bu he .	nn nv cm nv cm verb e nv cm nv verb e mark
ehe_kuren be sucu fi ,	nn cm verb e mark
yahican_buku ,	nn mark
han i genggiyen de acanji mbihe o ,	nv cm nv cm verb e ptcl mark
kamci ha boo i aha i emgi kamcibu fi ,	verb e nv cm nv cm nv verb e mark
yoto_beile ,	nn mark
sele faksi ,	nv nv mark
moro fila juwete tanggū ,	nv nv nv nv mark
sain be sain ,	nv cm nv mark
julge i yung_lo_han i g'aoming se re eje he be ,	nv cm nn cm nv verb e verb e cm mark
ši_ho_tun i lii_tiyan_ming ,	nn cm nn mark
uhereme ton uyun tanggū tofohon boo ,	nv nv nv nv nv nv mark
amba cooha i juleri juwe tanggū cooha sinda ∅ ,	nv nv cm nv nv nv nv verb e mark
naige ,	nn mark
kulekte ,	nn mark
yung_ping ci beile i unggi he bithe ,	nn cm nv cm verb e nv mark
tofohon de gene fi hai_jeo i amargi munggan de ili fi ,	nv cm verb e nn cm nv nv cm verb e mark
onoju ,	nn mark
jakūn gūsa i bayara i kiru i ejen de ilata yan menggun bu he ,	nv nv cm nv cm nv cm nv cm nv nv nv verb e mark
dukai_ala ci cooha axša fi siyeri_bigan de dedu he ,	nn cm nv verb e nn cm verb e mark
mao_wen_lung aca ki seme takūra ha juwe niyalma de ,	nn verb e comp verb e nv nv cm mark
ehe_kuren_golo i niyalma bi he ,	nn cm nv verb e mark
juwe jušen be holtošo me orita yan menggun bu fi nure omibu fi ,	nv nv cm verb e nv nv nv verb e nv verb e mark
sain mujilen i beye be dasa me banji cina ,	nv nv cm nv cm verb e verb e mark
niyalma be huwesile me wa ha seme ,	nv cm verb e verb e comp mark
munggatu ,	nn mark
lodori ,	nn mark
tere be solho si ,	nv cm nv pn mark
šoto_beile be uji ∅ seme bu he ,	nn cm verb e comp verb e mark
min i nene me unggi he tanggū niyalma i eden gūsin niyalma be unggi re ,	pn cm verb e verb e nv nv cm nv nv nv cm verb e mark
○ ice jakūn de ,	mark nv nv cm mark
hashū ergi duin gūsa i cooha ,	nv nv nv nv cm nv mark
afa ha weile de muterei teile akūmbu ki ,	verb e nv cm nv nv verb e mark
isinji ha jai cimari ,	verb e nv nv mark
nangnuk min be juwe inenggi juwe dobori burula me dosi gama ha ,	nn pn cm nv nv nv nv verb e nv verb e mark
han i baru jabu me ,	nv cm nv verb e mark
solho i hafasa be gai fi ji he seme donji ha manggi ,	nv cm nv cm verb e verb e comp verb e nv mark
hada de emu feye baha ha ,	nn cm nv nv verb e mark
giya_jing ni dehi duici aniya nadan biya i orin sunja de baha ha ,	nn cm nv nv nv nv nv cm nv nv cm verb e mark
tuwakiyabu ha boo i aha i beye be hūda salibu fi ,	verb e nv cm nv cm nv cm nv verb e mark
○ duin biya i tofohon de ,	mark nv nv cm nv cm mark
šada ha manggi tere beri be gabta ci ojo rakū kai .	verb e nv nv nv cm verb e verb e ptcl mark
babuhai de ninggute bu he ,	nn cm nv verb e mark
weile ara fi susai yan i gung faita ha .	nv verb e nv nv cm nv verb e mark
tari re usin be icihiya me bu he ,	verb e nv cm verb e verb e mark
fulan morin emke ,	nv nv nv mark
○ unege_baksi gene he ba ci alanji ha ngge ,	mark nn verb e nv cm verb e nmlz mark
eihen ,	nv mark
aca ki seme gisure ci inu o mbi ,	verb e comp verb e nv verb e mark
juwan weile o ci ,	nv nv verb e mark
hoko ho ,	verb e mark
fukana ,	nn mark
mo_ta_šan_wei i du_jy_hūi_ciyanši ulana i jui dasi ,	nn cm nv nn cm nv nn mark
baduri ,	nn mark
ficakū yooni dagila ∅ ,	nv nv verb e mark
suwen i gai re ba be biyai_taro de gai ∅ ,	pn cm verb e nv cm nn cm verb e mark
in de kamci ha ice nikan be ,	pn cm verb e nv nv cm mark
ere duwali tana ,	nv nv nv mark
tungsan i boo de bi he jakūn tanggū jakūnju ilan hoošan be gana fi gaji ha ,	nn cm nv cm verb e nv nv nv nv nv cm verb e verb e mark
ere ilan beiguwan be ,	nv nv nv cm mark
han de waka sabu fi weile baha fi boo yada kini ,	nv cm nv verb e nv verb e nv verb e mark
korcin de elcin gene he mandarhan isinji fi ,	nn cm nv verb e nn verb e mark
ulgiyan duin tanggū ,	nv nv nv mark
tere haha i ton be ,	nv nv cm nv cm mark
ajigan ci cooha coohala me ,	nv cm nv verb e mark
emu tanggū dehi emu hule ,	nv nv nv nv nv mark
○ buhatu i kadala ra emu gašan i duin boigon be ,	mark nv cm verb e nv nv cm nv nv cm mark
honin tumen funce mbi ,	nv nv verb e mark
min i hoton efule re de ,	pn cm nv verb e cm mark
ojo rakū ,	verb e mark
waliya mbi ,	verb e mark
balama ,	nv mark
usin weile kini ,	nv verb e mark
ere aniya bi aina ha seme dain naka rakū daila mbi seme hendu he ,	nv nv pn verb e comp nv verb e verb e comp verb e mark
fanaha ,	nn mark
jai afa ha seme ai tusa ,	nv verb e comp nv nv mark
tere be bi gemu bahana habi ,	nv cm pn nv verb e mark
suwen i caiha ,	pn cm nn mark
geren beile se be gai fi indahūn erin de tuci fi ,	nv nv nv cm verb e nv nv cm verb e mark
juwan ninggun morin be baha fi ,	nv nv nv cm verb e mark
cen_pu ,	nn mark
dainju ,	nn mark
emu biya de duin sin jeku ,	nv nv cm nv nv nv mark
han i afabu ha jurgan be jurce rakū ,	nv cm verb e nv cm verb e mark
tuwa rakū ,	verb e mark
han ama i doro de ,	nv nv cm nv cm mark
abka i efule re be si aitubu ci o mbi o ,	nv cm verb e cm pn verb e verb e ptcl mark
eldei ,	nn mark
boigon be gercile he niyalma de bu he ,	nv cm verb e nv cm verb e mark
○ ineku juwan uyun i inenggi ,	mark nv nv nv cm nv mark
lung_king ni duici aniya nadan biya i orin namdari ,	nn cm nv nv nv nv cm nv nn mark
gurun i sain de han kai ,	nv cm nv cm nv ptcl mark
be eihen losa bu fi ,	pn nv nv verb e mark
jase i jaka be kedere me dedu hekū ,	nv cm nv cm verb e verb e mark
aita fujiyang tere bithe be jafa fi šajin de ala ra jaka de ,	nn nv nv nv cm verb e nv cm verb e nv cm mark
suwe inu tere fon de dolo sula o mbi ,	pn nv nv nv cm nv nv verb e mark
han hendu me ,	nv verb e mark
fejergi buya niyalma udu bahana ha sa ha seme ,	nv nv nv nv verb e verb e comp mark
han ,	nv mark
fusi ,	nn mark
asibu ,	nn mark
sin_k'ai_ho i bigan de inenggi buda budala ra ba de ,	nn cm nv cm nv nv verb e nv cm mark
tere jaila ha ba be tuwa fi gida mbi ,	nv verb e nv cm verb e verb e mark
ilaci jergi iogi be wesibu fi ,	nv nv nv cm verb e mark
hūsun be ,	nv cm mark
ehe sain be dere bani rakū ,	nv nv cm nv verb e mark
men be gaji me ji he ,	pn cm verb e verb e mark
juwan boso ,	nv nv mark
hecen saha me nene he niyalma hūdun wacihiya ∅ ,	nv verb e verb e nv nv verb e mark
tsanjiyang ,	nv mark
aika baita gurun i doro dasa ra de ,	nv nv nv cm nv verb e cm mark
emu jergi ,	nv nv mark
afa ra niyalma be wa mbi kai ,	verb e nv cm verb e ptcl mark
tere i emgi usin boo jeku be geterembu me icihiya ∅ ,	nv cm nv nv nv nv cm verb e verb e mark
nikan i anggala niru i uksin i niyalma de bu he ngge ,	nv cm nv nv cm nv cm nv cm verb e nmlz mark
hūlha holo be ,	nv nv cm mark
korcin i monggo duri me gai ha seme ala ha ,	nn cm nv verb e verb e comp verb e mark
juwe hehe be bušuku bi seme tanta me wa habi ,	nv nv cm nv verb comp verb e verb e mark
baha fi gaji fi loo de hori ha juwan niyalma be jase de gama fi wa ha manggi ,	verb e verb e nv cm verb e nv nv cm nv cm verb e verb e nv mark
bak ,	nn mark
gašan i amban sa ciyanjang bejang ende mbi o ,	nv cm nv nv nv nv verb e ptcl mark
jakūn gūsa i fujisa aca fi ,	nv nv cm nv verb e mark
jete re omi re tere ili re ba de ,	verb e verb e nv verb e nv cm mark
min i han ,	pn cm nv mark
bi_šan ,	nn mark
ere tofohon niyalma ilaci jergi ,	nv nv nv nv nv mark
hithai daise iogi be ,	nn nv nv cm mark
si ume afa ra ,	pn nv verb e mark
beile se suwe sa mbi o ,	nv nv pn verb e ptcl mark
aisin menggun gaija rakū ,	nv nv verb e mark
ere sunja boigon be nio_juwang de tebu he .	nv nv nv cm nn cm verb e mark
○ iogi yungšun ,	mark nv nn mark
jongnon i ara ha weile kai ,	nn cm verb e nv ptcl mark
birai_dergi utala tumen tumen niyalma be ,	nn nv nv nv nv cm mark
jakūn gūsa i cooha ,	nv nv cm nv mark
